Kunta,index,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,x,y,Nimi2,Nr
Espoo,Suomenlahdentie (Eco-Counter),0.5087719298245614,0.2324561403508772,0.13157894736842105,0.14035087719298245,0.37719298245614036,2.3333333333333335,7.043859649122807,17.785087719298247,20.899122807017545,10.385964912280702,8.916666666666666,10.56140350877193,11.271929824561404,12.447368421052632,14.676855895196507,18.34061135371179,23.524017467248907,22.860262008733624,18.5764192139738,15.135371179039302,11.860262008733624,7.283842794759825,3.506550218340611,1.5720524017467248,6671545.0,25484748.0,Suomenlahdentie (pohjoinen & eteläinen),32
Espoo,"Suomenlahdentie, etelainen (viacount)",0.2,0.0,0.0,0.2,0.2,1.6,7.6,19.2,25.6,10.0,10.4,7.2,15.0,15.8,20.4,21.2,28.4,27.4,24.8,22.8,19.6,9.2,3.6,0.8,6673578.0,25488895.0,"Tapiola, Länsituulenkuja (eco-counter)",33
Espoo,"Suomenlahdentie, pohjoinen (Viacount)",0.2,0.2,0.0,0.0,0.4,0.0,2.2,4.2,5.2,1.8,3.6,2.2,3.0,3.0,2.6,2.8,5.0,6.2,4.2,2.6,3.6,1.8,0.6,0.2,6678976.0,25491608.0,"Turuntie, Rantaradanreitti (eco-counter)",34
Espoo,"Tapiola,Lansituulenkuja (Eco-Counter)",7.477970627503338,3.9826435246995993,2.548731642189586,2.193029490616622,2.9572763684913217,9.961281708945261,37.154873164218955,84.67423230974633,118.9479305740988,109.10947930574099,128.78504672897196,166.41522029372496,179.9105473965287,187.24032042723633,195.4365821094793,202.96795727636848,214.76902536715622,192.72630173564752,157.76101468624833,124.64352469959947,87.53271028037383,53.372496662216285,26.801068090787716,16.300400534045394,6688155.0,25485793.0,"Vihdintie, Kalajärven itäpuoli",35
Espoo,"Turuntie, Rantaradanreitti (Eco-Counter)",1.4385964912280702,0.6666666666666666,0.34649122807017546,0.4298245614035088,2.1491228070175437,10.710526315789474,49.45614035087719,113.89912280701755,116.58333333333333,38.838427947598255,20.05240174672489,16.344978165938866,15.925764192139738,18.013100436681224,27.541484716157207,68.70742358078603,112.74235807860262,87.39737991266375,46.956331877729255,26.2882096069869,18.017467248908297,11.091703056768559,5.4803493449781655,2.650655021834061,6682147.0,25490666.0,"Vihdintie, Uusmäki",36
Espoo,"Vihdintie, Kalajarven itapuoli (Viacount 2)",0.4,0.0,0.0,0.0,0.8,2.0,6.6,5.4,3.0,4.8,4.4,3.6,11.4,10.4,16.4,15.8,19.6,18.0,10.4,12.0,13.0,3.6,1.8,0.6,6674318.0,25485946.0,"Ylismäentie, Suurpelto (eco-counter)",37
Espoo,"Vihdintie, Uusmaki (DSL10)",5.541984732824427,3.5343511450381677,2.030534351145038,0.905852417302799,1.5435897435897437,13.266666666666667,54.13846153846154,74.73589743589744,43.732142857142854,20.158163265306122,23.709923664122137,28.883248730964468,24.90126582278481,22.97229219143577,31.502525252525253,59.372151898734174,81.50757575757575,59.957070707070706,44.06345177664975,37.29187817258883,34.746192893401016,24.83969465648855,15.35204081632653,8.85969387755102,0.0,0.0,,38
Espoo,"Ylismaentie,Suurpelto (Eco-Counter)",1.1359649122807018,0.618421052631579,0.42543859649122806,0.2675438596491228,0.7368421052631579,5.62719298245614,22.285087719298247,53.93421052631579,55.99122807017544,23.42105263157895,11.609649122807017,14.337719298245615,14.87280701754386,18.45175438596491,29.478070175438596,37.24561403508772,56.36842105263158,47.620087336244545,32.366812227074234,23.183406113537117,18.179039301310045,11.921397379912664,6.6244541484716155,3.8384279475982535,0.0,0.0,,39
Helsinki,Auroransilta,2.222,1.092,0.54,0.304,0.434,4.45,46.032,155.838,223.756,101.234,46.312,43.406,44.926,45.7,55.616,116.918,189.034,165.716,108.06,72.46,51.154,28.564870259481037,14.081836327345309,6.2395209580838324,25495829.19,6675381.99,Auroransilta,40
Helsinki,Baana,9.51046590141796,4.831195138419987,2.5185685347738014,1.6185010128291695,4.054017555705604,19.172180958811612,89.93787981093855,229.0135043889264,359.6191762322755,216.95408507765023,100.56110735989196,94.34233625928427,100.12559081701554,101.03646185010129,124.2795408507765,218.49088453747467,333.4442943956786,294.5887913571911,204.46252532072924,142.00540175557057,111.82714382174207,78.54422687373396,40.918973666441595,20.975692099932477,25496018.01,6672998.46,Baana,41
